|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
| 59577.480289224535 | 12.93012 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
| 59577.480289224535 | 15.52171 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
| 59577.480289224535 | 14.18077 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
| 59577.480289224535 | 13.06528 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
| 59577.480289224535 | 13.29735 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59531.26527777778 | 16.35756 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59531.26527777778 | 16.60213 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59531.26527777778 | 15.90633 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59531.26527777778 | 15.88464 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59531.26527777778 | 16.18469 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59531.26527777778 | 17.30259 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59531.26527777778 | 16.25721 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59531.26527777778 | 15.95805 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59531.26527777778 |  16.5262 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
