recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277267,118.714759,59.389777,0.316,0.272,20152436,7,30,0.562,0.171,14.008,0.054,14.571,0.162,14.159,0.205,13.810,0.047,13.650,0.055
7277268,118.607999,59.364725,0.630,0.510,20152435,3,12,0.826,0.066,15.970,0.066,16.797,0.000,16.294,0.048,15.666,0.052,15.456,0.153
7277269,118.636479,59.354523,0.363,0.589,20152436,7,30,0.475,0.190,14.540,0.075,15.016,0.175,14.662,0.195,14.405,0.064,14.232,0.113
7277270,118.607629,59.400919,0.774,1.100,20152435,3,8,0.635,0.132,16.169,0.132,16.804,0.000,16.532,0.107,15.812,0.028,15.437,0.000
7277271,118.616392,59.425697,0.558,0.443,20152436,7,30,0.750,0.222,14.674,0.083,15.424,0.206,14.937,0.222,14.385,0.052,14.135,0.049
7277272,118.665212,59.412567,0.721,0.802,20152435,3,9,0.772,0.071,15.895,0.071,16.666,0.000,16.224,0.008,15.611,0.037,15.304,0.000
7277274,118.644233,59.477088,0.217,0.260,20152436,7,32,0.472,0.199,12.873,0.068,13.344,0.187,12.938,0.238,12.712,0.044,12.583,0.074
7277275,118.800661,59.405402,0.458,0.382,20152436,7,30,0.746,0.183,14.442,0.067,15.187,0.171,14.698,0.216,14.156,0.055,13.939,0.103
7277278,118.855403,59.500503,0.334,0.458,20152436,7,29,0.684,0.193,14.426,0.053,15.110,0.186,14.641,0.221,14.161,0.053,13.954,0.091
7277279,118.866010,59.486883,0.845,0.749,20152436,6,18,0.539,0.037,15.992,0.037,16.531,0.000,16.126,0.208,15.795,0.099,15.498,0.074
